Organization Name,Final Unique URL,2021 Season Start Date,Starting Capacity,States can serve,Zip Routing
Free Tax Prep Coalition/Just Harvest,justharvest,1/20/21,500,PA,"15004, 15006, 15007, 15012, 15014, 15015, 15017, 15018, 15019, 15020, 15021, 15022, 15024, 15025, 15028, 15030, 15031, 15032, 15033, 15034, 15035, 15036, 15037, 15038, 15044, 15045, 15046, 15047, 15049, 15051, 15053, 15054, 15055, 15056, 15057, 15060, 15062, 15063, 15064, 15065, 15067, 15068, 15071, 15072, 15075, 15076, 15078, 15082, 15083, 15084, 15085, 15086, 15087, 15088, 15089, 15090, 15091, 15095, 15101, 15102, 15104, 15106, 15108, 15110, 15112, 15116, 15120, 15122, 15123, 15126, 15127, 15129, 15130, 15131, 15132, 15133, 15134, 15135, 15136, 15137, 15139, 15140, 15142, 15143, 15144, 15145, 15146, 15147, 15148, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 15214, 15215, 15216, 15217, 15218, 15219, 15220, 15221, 15222, 15223, 15224, 15225, 15226, 15227, 15228, 15229, 15230, 15231, 15232, 15233, 15234, 15235, 15236, 15237, 15238, 15239, 15240, 15241, 15242, 15243, 15244, 15250, 15251, 15260, 15264, 15272, 15274, 15275, 15276, 15290, 15295, 15301, 15310, 15311, 15312, 15313, 15314, 15315, 15316, 15317, 15320, 15321, 15322, 15323, 15324, 15325, 15327, 15329, 15330, 15331, 15332, 15333, 15334, 15336, 15337, 15338, 15339, 15340, 15341, 15342, 15344, 15345, 15346, 15347, 15348, 15349, 15350, 15351, 15352, 15353, 15354, 15357, 15358, 15359, 15360, 15361, 15362, 15363, 15364, 15365, 15366, 15367, 15368, 15370, 15376, 15377, 15378, 15379, 15380, 15401, 15410, 15412, 15413, 15415, 15416, 15417, 15419, 15420, 15421, 15422, 15423, 15425, 15427, 15428, 15429, 15430, 15431, 15432, 15433, 15434, 15435, 15436, 15437, 15438, 15439, 15440, 15442, 15443, 15444, 15445, 15446, 15447, 15448, 15449, 15450, 15451, 15454, 15455, 15456, 15458, 15459, 15460, 15461, 15462, 15463, 15464, 15465, 15466, 15467, 15468, 15469, 15470, 15472, 15473, 15474, 15475, 15476, 15477, 15478, 15479, 15480, 15482, 15483, 15484, 15486, 15488, 15489, 15490, 15492, 15601, 15610, 15611, 15612, 15613, 15615, 15616, 15617, 15618, 15619, 15620, 15621, 15622, 15623, 15624, 15625, 15626, 15627, 15628, 15629, 15631, 15632, 15633, 15634, 15635, 15636, 15637, 15638, 15639, 15640, 15641, 15642, 15644, 15646, 15647, 15650, 15655, 15658, 15660, 15661, 15662, 15663, 15664, 15665, 15666, 15668, 15670, 15671, 15672, 15674, 15675, 15676, 15677, 15678, 15679, 15680, 15683, 15684, 15685, 15687, 15688, 15689, 15690, 15691, 15692, 15693, 15695, 15696, 15697, 15698, 15779, 15923, 15944, 15954"
"Goodwill Industries of Central Michigan's Heartland, Inc.",GICMH,2/5/21,200,"IN,MI","49011, 49014, 49015, 49016, 49017, 49018, 49036, 49037, 49052, 49068, 49094"
Goodwill Industries of North Central Wisconsin,gincw,1/26/21,160,WI,
"Goodwill Industries of Southwest Oklahoma & North Texas, Inc.",,,,,
Goodwill Industries of Tulsa,tulsa,2/1/21,200,OK,
Goodwill Industries Southern Rivers,gwisr,1/25/21,,,
Goodwill of the Olympics and Rainier Region,PierceWA,1/20/21,200,WA,
Granite United Way/CA$H Coalition of NH,GUW,2/1/21,,,
Grow Brooklyn,GrowBrooklyn,,,,
Health & Welfare Council of Long Island,HWCLI,2/2/21,100,NY,
Hispanic Unity of Florida,hispanicunity,1/20/21,120,FL,
"HOPES CAP, Inc.",hopescapinc,1/27/21,150,NJ,"07002, 07029, 07093, 07029, 07030, 07302, 07304, 07305, 07306, 07301, 07310, 07311, 07032, 07047, 07094, 07087, 07086, 07093, 07922, 07066, 07016, 07201, 07202, 07206, 07208, 07023, 07027, 07205, 07033, 07036, 07092, 07974, 07060, 07062, 07063, 07069, 07065, 07203, 07204, 07076, 07081, 07901, 07083, 07090, 07921, 07924, 08805, 08853, 08876, 08807, 07931, 07416, 08812, 08844, 08835, 08869, 08553, 08876, 08880, 07069"
Impact America,IA,1/20/21,250,"AL,TN,SC",
Jackson County United Way,jacsy,1/20/21,100,,"47220, 47228, 47229, 47235, 47249, 47260, 47264, 47274, 47281, 47223, 47227, 47245, 47265, 47270, 47273, 47282, 47201, 47138, 47170, 47177, 47108, 47120, 47125, 47165, 47167, 47420, 47421, 47436, 47437, 47446, 47451, 47462, 47267, 47470"
Jefferson Economic Development Institute,MtShasta,1/20/21,40,"CA,OR",
La Casa de Esperanza,lacasa,1/20/21,200,WI,
"Lakes and Pines CAC, Inc",,,,,
Louisville Asset Building Coalition,LUL,1/20/21,200,KY,
MASSCAP,MASSCAP,2/1/21,290,,
MassCAP - WCAC,WCAC,2/1/21,200,,
